date,signal,alert_type,confidence,entry_price,tp1,stop_loss,pnl,pnl_pct,outcome,bullish_score,bearish_score,gap_type,gap_size,news_sentiment,news_impact,dark_pool_flow,options_sentiment,regime
2025-07-14,,MONITOR,0.0,0.0,0.0,0.0,0.0,0.0,NO_SIGNAL,5,3,NO_GAP,0.0,NEUTRAL,LOW,BUYING,BULLISH,downtrend
2025-07-15,,MONITOR,0.0,0.0,0.0,0.0,0.0,0.0,NO_SIGNAL,4,3,GAP_UP,2.76,NEUTRAL,NONE,NEUTRAL,NEUTRAL,downtrend
2025-07-16,SELL,STRONG SELL,60.0,24.75,25.42,0.2,-0.67,-2.71,TP_HIT,3,9,GAP_DOWN,-3.25,NEUTRAL,NONE,SELLING,BEARISH,downtrend
2025-07-17,,MONITOR,0.0,0.0,0.0,0.0,0.0,0.0,NO_SIGNAL,3,3,NO_GAP,-0.57,NEUTRAL,NONE,BUYING,BEARISH,downtrend
2025-07-18,BUY,STRONG BUY,80.0,0.1,24.68,-0.2,24.58,24580.0,TP_HIT,12,2,GAP_UP,2.2,NEUTRAL,NONE,BUYING,BULLISH,downtrend
2025-07-21,BUY,STRONG BUY,86.7,0.1,25.65,-0.2,25.55,25550.0,TP_HIT,13,3,GAP_UP,4.54,POSITIVE,MEDIUM,BUYING,BULLISH,downtrend
2025-07-22,,MONITOR,0.0,0.0,0.0,0.0,0.0,0.0,NO_SIGNAL,5,5,NO_GAP,-0.57,NEUTRAL,LOW,SELLING,BEARISH,downtrend
2025-07-23,BUY,STRONG BUY,60.0,0.1,26.51,-0.2,26.41,26410.0,TP_HIT,9,3,GAP_UP,3.53,NEUTRAL,NONE,BUYING,NEUTRAL,downtrend
2025-07-24,,MONITOR,0.0,0.0,0.0,0.0,0.0,0.0,NO_SIGNAL,4,3,GAP_UP,1.99,NEUTRAL,LOW,NEUTRAL,BULLISH,downtrend
2025-07-25,BUY,BUY,46.7,24.83,27.61,24.53,2.78,11.2,TP_HIT,7,3,GAP_UP,1.67,NEUTRAL,NONE,BUYING,BULLISH,downtrend
2025-07-28,SELL,SELL,46.7,27.59,27.66,27.89,-0.07,-0.25,TP_HIT,5,7,GAP_DOWN,-2.91,NEUTRAL,NONE,SELLING,NEUTRAL,downtrend
2025-07-29,BUY,BUY,40.0,25.04,27.81,24.74,2.77,11.06,TP_HIT,6,0,NO_GAP,0.98,NEUTRAL,NONE,BUYING,NEUTRAL,downtrend
2025-07-30,BUY,STRONG BUY,80.0,26.01,27.75,25.71,1.74,6.69,TP_HIT,12,4,GAP_UP,5.36,POSITIVE,MEDIUM,BUYING,BEARISH,downtrend
2025-07-31,BUY,STRONG BUY,66.7,26.52,29.06,26.22,2.54,9.58,TP_HIT,10,2,GAP_UP,2.77,NEUTRAL,NONE,BUYING,NEUTRAL,downtrend
2025-08-01,SELL,SELL,40.0,29.56,29.62,29.11,0.45,1.52,SL_HIT,4,6,GAP_UP,1.54,NEUTRAL,NONE,SELLING,BEARISH,downtrend
2025-08-04,BUY,STRONG BUY,73.3,27.18,29.79,26.88,2.61,9.6,TP_HIT,11,3,GAP_UP,3.42,NEUTRAL,NONE,BUYING,BULLISH,downtrend
2025-08-05,BUY,STRONG BUY,86.7,27.49,30.47,27.19,2.98,10.84,TP_HIT,13,3,GAP_UP,8.0,POSITIVE,MEDIUM,BUYING,BULLISH,downtrend
2025-08-06,,MONITOR,0.0,0.0,0.0,0.0,0.0,0.0,NO_SIGNAL,5,1,GAP_UP,1.04,NEUTRAL,NONE,BUYING,NEUTRAL,downtrend
2025-08-07,BUY,STRONG BUY,93.3,27.96,32.96,27.66,5.0,17.88,TP_HIT,14,2,GAP_UP,3.93,POSITIVE,MEDIUM,BUYING,BULLISH,downtrend
2025-08-08,BUY,STRONG BUY,73.3,28.88,34.76,28.58,5.88,20.36,TP_HIT,11,2,GAP_UP,3.46,NEUTRAL,NONE,BUYING,NEUTRAL,downtrend
2025-08-11,BUY,STRONG BUY,60.0,29.48,35.98,29.18,6.5,22.05,TP_HIT,9,3,GAP_UP,3.0,POSITIVE,MEDIUM,NEUTRAL,NEUTRAL,downtrend
2025-08-12,BUY,STRONG BUY,95.0,29.72,36.74,29.42,7.02,23.62,TP_HIT,15,2,GAP_UP,4.46,POSITIVE,MEDIUM,BUYING,BULLISH,downtrend
2025-08-13,BUY,STRONG BUY,60.0,30.68,38.39,30.38,7.71,25.13,TP_HIT,9,2,GAP_UP,1.8,NEUTRAL,NONE,BUYING,BULLISH,downtrend
