date,open,high,low,close,volume,regime
2025-07-14,25.09,25.34,24.96,25.0,20037253,downtrend
2025-07-15,25.69,25.77,25.37,25.53,22502585,downtrend
2025-07-16,24.7,24.91,24.21,24.75,26962336,downtrend
2025-07-17,24.61,24.86,24.52,24.59,20199906,downtrend
2025-07-18,25.13,25.86,24.65,25.32,14213891,downtrend
2025-07-21,26.47,26.64,26.28,26.42,25675241,downtrend
2025-07-22,26.27,26.47,25.79,26.32,19438673,downtrend
2025-07-23,27.25,27.5,26.82,27.08,28146996,downtrend
2025-07-24,27.62,27.75,27.46,27.53,18504296,downtrend
2025-07-25,27.99,28.08,27.61,27.79,19493891,downtrend
2025-07-28,26.98,27.93,26.98,27.55,23545032,downtrend
2025-07-29,27.82,27.82,27.37,27.63,19457657,downtrend
2025-07-30,29.11,29.19,28.6,28.9,27466565,downtrend
2025-07-31,29.7,29.9,29.33,29.78,16411090,downtrend
2025-08-01,30.24,30.35,29.53,29.56,22500355,downtrend
2025-08-04,30.57,30.66,29.9,30.26,17164734,downtrend
2025-08-05,32.68,33.31,32.63,32.72,21549387,downtrend
2025-08-06,33.06,33.34,32.74,32.79,10822466,downtrend
2025-08-07,34.08,34.95,33.55,34.37,27605771,downtrend
2025-08-08,35.56,36.11,35.09,35.7,24784906,downtrend
2025-08-11,36.77,36.91,36.3,36.57,15724271,downtrend
2025-08-12,38.2,38.28,37.73,38.24,24464080,downtrend
2025-08-13,38.93,39.05,38.81,39.04,26935677,downtrend
2025-08-14,38.18,39.79,37.82,38.91,13098266,downtrend
2025-08-15,40.88,42.19,40.86,41.14,20630315,downtrend
2025-08-18,42.19,42.91,42.1,42.51,27182475,downtrend
2025-08-19,42.02,42.45,41.8,42.4,13132929,downtrend
2025-08-20,44.31,44.86,43.83,44.75,32521296,downtrend
2025-08-21,44.01,44.68,43.99,44.33,12765105,downtrend
2025-08-22,45.62,46.31,44.91,45.5,26614888,downtrend
2025-08-25,46.39,46.9,44.96,45.96,16591952,downtrend
2025-08-26,47.34,47.65,47.32,47.44,17356341,downtrend
2025-08-27,48.22,48.35,47.82,48.0,17375595,downtrend
2025-08-28,49.17,49.52,48.64,48.87,23424843,downtrend
2025-08-29,48.71,49.96,48.55,48.96,19541875,downtrend
2025-09-01,48.65,48.77,48.18,48.23,18667682,downtrend
2025-09-02,50.13,50.18,49.35,49.97,24967703,downtrend
2025-09-03,51.74,52.07,51.54,51.89,19918096,downtrend
2025-09-04,51.64,52.28,51.64,52.24,14489673,downtrend
2025-09-05,54.88,54.88,53.89,54.39,26703993,downtrend
2025-09-08,54.82,54.96,54.59,54.89,12560155,downtrend
2025-09-09,55.87,56.43,55.04,55.85,24041558,downtrend
2025-09-10,55.82,56.01,54.87,55.47,21415731,downtrend
2025-09-11,57.12,57.2,56.53,57.11,16400097,downtrend
2025-09-12,57.72,58.79,57.48,57.76,18772078,downtrend
2025-09-15,57.61,58.21,56.8,57.89,20281677,downtrend
2025-09-16,58.33,58.53,57.81,58.51,17810685,downtrend
2025-09-17,59.29,59.65,58.1,58.7,19850713,downtrend
2025-09-18,59.27,59.77,58.61,59.27,19662599,downtrend
2025-09-19,59.99,61.15,59.83,60.57,25560113,downtrend
2025-09-22,60.85,62.87,60.7,61.55,15576959,downtrend
2025-09-23,62.39,63.37,61.69,62.03,18281777,downtrend
2025-09-24,61.8,62.24,61.48,61.99,14635717,downtrend
2025-09-25,63.76,64.09,63.26,63.55,14989188,downtrend
2025-09-26,63.3,63.68,62.96,63.13,19784704,downtrend
2025-09-29,65.67,65.68,62.76,64.28,23316495,downtrend
2025-09-30,65.55,66.15,64.54,65.6,15969926,downtrend
2025-10-01,67.26,67.36,66.35,66.52,18324471,downtrend
2025-10-02,68.25,68.48,66.7,67.49,20503892,downtrend
2025-10-03,67.28,68.41,65.82,67.14,12499677,downtrend
2025-10-06,68.59,69.43,68.57,68.74,19166970,downtrend
2025-10-07,70.83,72.63,70.62,71.74,16191985,downtrend
2025-10-08,71.73,71.8,71.66,71.69,13444387,downtrend
2025-10-09,74.1,74.36,72.01,72.84,18823403,downtrend
2025-10-10,78.76,79.21,78.71,78.91,28421935,downtrend
2025-10-13,83.25,84.07,82.93,83.76,29195701,downtrend
2025-10-14,92.32,93.12,91.1,91.76,43781341,downtrend
