date,timestamp,size,price,side,notional_value,exchange
2025-07-14,2025-07-14T12:39:00,21212,24.98,sell,529842.78,CITI
2025-07-14,2025-07-14T13:34:00,48212,25.04,sell,1207373.15,CITI
2025-07-14,2025-07-14T15:00:00,456525,24.98,buy,11403411.61,GS
2025-07-14,2025-07-14T16:00:00,25282,25.03,buy,632784.06,BARCLAYS
2025-07-14,2025-07-14T11:18:00,211999,24.98,buy,5296543.83,MS
2025-07-14,2025-07-14T12:06:00,37242,25.02,buy,931842.44,BARCLAYS
2025-07-14,2025-07-14T13:52:00,37422,25.0,buy,935723.43,GS
2025-07-14,2025-07-14T16:36:00,54463,25.02,sell,1362610.49,BARCLAYS
2025-07-14,2025-07-14T15:29:00,41337,25.04,sell,1035127.28,BARCLAYS
2025-07-14,2025-07-14T14:59:00,454738,24.98,sell,11357655.43,GS
2025-07-14,2025-07-14T09:18:00,362400,25.03,sell,9071403.12,BARCLAYS
2025-07-14,2025-07-14T13:45:00,45284,24.96,sell,1130241.88,BARCLAYS
2025-07-14,2025-07-14T11:09:00,90212,24.98,sell,2253655.16,CITI
2025-07-14,2025-07-14T16:31:00,22270,24.96,sell,555842.93,UBS
2025-07-14,2025-07-14T14:08:00,89518,24.99,buy,2236965.65,UBS
2025-07-14,2025-07-14T12:21:00,39830,24.96,buy,994313.35,CITI
2025-07-14,2025-07-14T09:10:00,298183,24.99,buy,7450944.98,CITI
2025-07-14,2025-07-14T11:49:00,23667,24.98,sell,591147.66,UBS
2025-07-14,2025-07-14T15:56:00,444960,25.05,buy,11145139.64,GS
2025-07-14,2025-07-14T09:38:00,82067,24.97,sell,2049072.03,MS
2025-07-14,2025-07-14T10:23:00,74280,24.99,sell,1856068.49,GS
2025-07-14,2025-07-14T09:00:00,234498,24.99,buy,5860013.59,UBS
2025-07-14,2025-07-14T10:43:00,32527,24.96,sell,811981.05,UBS
2025-07-15,2025-07-15T11:35:00,191516,25.55,sell,4893296.19,MS
2025-07-15,2025-07-15T13:16:00,161966,25.5,buy,4129880.03,MS
2025-07-15,2025-07-15T11:21:00,240750,25.55,sell,6150416.32,MS
2025-07-15,2025-07-15T12:38:00,278709,25.55,buy,7122053.07,UBS
2025-07-15,2025-07-15T12:28:00,28587,25.49,buy,728701.75,BARCLAYS
2025-07-15,2025-07-15T15:21:00,32727,25.52,buy,835350.9,BARCLAYS
2025-07-15,2025-07-15T13:04:00,14456,25.51,sell,368789.21,CITI
2025-07-15,2025-07-15T12:33:00,266460,25.5,sell,6794534.2,UBS
2025-07-15,2025-07-15T14:48:00,450548,25.5,buy,11487590.53,BARCLAYS
2025-07-15,2025-07-15T10:12:00,67523,25.54,sell,1724644.02,GS
2025-07-15,2025-07-15T14:17:00,210114,25.56,sell,5369757.21,MS
2025-07-15,2025-07-15T12:48:00,93465,25.54,buy,2387488.43,UBS
2025-07-15,2025-07-15T15:21:00,76197,25.52,buy,1944738.33,UBS
2025-07-15,2025-07-15T16:11:00,485619,25.52,buy,12395324.85,CITI
2025-07-15,2025-07-15T16:39:00,285274,25.5,buy,7275371.44,MS
2025-07-15,2025-07-15T11:17:00,46974,25.55,sell,1200046.75,BARCLAYS
2025-07-15,2025-07-15T11:30:00,39314,25.58,buy,1005538.41,MS
2025-07-15,2025-07-15T14:43:00,52491,25.58,sell,1342585.38,UBS
2025-07-15,2025-07-15T09:24:00,182427,25.48,buy,4648071.4,MS
2025-07-15,2025-07-15T09:37:00,249662,25.54,buy,6376148.68,BARCLAYS
2025-07-15,2025-07-15T13:58:00,31927,25.53,sell,815011.63,CITI
2025-07-15,2025-07-15T14:34:00,50906,25.48,sell,1297309.53,UBS
2025-07-15,2025-07-15T12:55:00,69989,25.51,buy,1785214.16,GS
2025-07-15,2025-07-15T09:53:00,495394,25.54,sell,12651263.13,GS
2025-07-15,2025-07-15T11:41:00,244576,25.57,sell,6254431.5,UBS
2025-07-15,2025-07-15T11:16:00,234599,25.52,sell,5987242.73,MS
2025-07-15,2025-07-15T15:08:00,478133,25.49,buy,12188946.67,GS
2025-07-15,2025-07-15T11:41:00,67163,25.49,buy,1712018.8,CITI
2025-07-15,2025-07-15T11:42:00,52290,25.55,buy,1335774.16,UBS
2025-07-15,2025-07-15T13:41:00,45501,25.56,sell,1163160.5,GS
2025-07-15,2025-07-15T12:02:00,441033,25.55,sell,11266512.48,MS
2025-07-15,2025-07-15T13:27:00,46745,25.58,buy,1195694.82,UBS
2025-07-15,2025-07-15T14:27:00,35729,25.55,buy,912721.04,MS
2025-07-15,2025-07-15T12:51:00,40976,25.5,buy,1045003.18,GS
2025-07-15,2025-07-15T12:21:00,15978,25.48,buy,407110.08,CITI
