date,timestamp,type,strike,expiration,contracts,premium,notional_value,unusual,sentiment
2025-07-14,2025-07-14T09:42:00,call,25.0,2025-07-17,135,4.77,64363.82,False,call
2025-07-14,2025-07-14T13:37:00,call,26.0,2025-07-21,340,0.61,20784.91,False,call
2025-07-14,2025-07-14T11:31:00,put,23.0,2025-09-12,3,4.14,1243.36,False,put
2025-07-14,2025-07-14T12:09:00,call,27.0,2025-07-28,812,2.16,175327.7,False,call
2025-07-14,2025-07-14T14:01:00,call,23.0,2025-08-13,23,1.29,2978.37,False,call
2025-07-14,2025-07-14T12:18:00,call,26.0,2025-08-13,3,1.47,440.32,False,call
2025-07-14,2025-07-14T09:41:00,call,25.0,2025-08-13,100,4.58,45806.67,False,call
2025-07-14,2025-07-14T11:39:00,call,26.0,2025-07-28,13,1.72,2232.46,False,call
2025-07-14,2025-07-14T15:46:00,call,26.0,2025-07-21,508,3.2,162377.06,False,call
2025-07-14,2025-07-14T15:30:00,call,27.0,2025-09-12,193,1.72,33117.85,False,call
2025-07-14,2025-07-14T12:41:00,put,26.0,2025-07-28,10,4.47,4468.9,False,put
2025-07-14,2025-07-14T14:40:00,put,23.0,2025-09-12,20,2.87,5734.56,False,put
2025-07-14,2025-07-14T09:34:00,put,24.0,2025-07-28,72,1.47,10556.32,False,put
2025-07-14,2025-07-14T13:44:00,call,27.0,2025-07-21,48,2.36,11337.29,False,call
2025-07-14,2025-07-14T15:43:00,call,23.0,2025-07-17,165,1.46,24030.38,False,call
2025-07-14,2025-07-14T09:04:00,put,25.0,2025-07-21,936,2.79,260709.48,True,put
2025-07-14,2025-07-14T14:45:00,call,25.0,2025-07-21,50,0.56,2778.22,False,call
2025-07-14,2025-07-14T14:27:00,put,25.0,2025-07-17,18,1.29,2319.45,False,put
2025-07-15,2025-07-15T09:02:00,put,27.0,2025-07-18,759,4.22,320081.48,False,put
2025-07-15,2025-07-15T14:06:00,call,26.0,2025-07-18,19,0.88,1662.84,False,call
